descricao,preco,quantidade
Arroz,2.33,50
Feijão,4.50,30
Macarrão,3.20,40
Açúcar,1.75,100
Café,5.80,25
Óleo,6.50,20
Sal,1.20,70
Farinha,2.80,60
Leite,3.10,90
Biscoito,2.11,80
Paracetamol 500mg (20 comprimidos),12.50,14
Ibuprofeno 400mg (30 comprimidos),18.75,3
Vitamina C 1g (10 comprimidos efervescentes),14.90,6
Xarope para Tosse 120ml,22.30,9
Antialérgico 10mg (15 comprimidos),19.40,2
Creme Hidratante 200ml,25.00,55
Protetor Solar FPS 50 100ml,39.90,11
Shampoo Anticaspa 200ml,21.50,1
Sabonete Líquido Antibacteriano 250ml,9.80,1
Curativo Band-aid (caixa com 20 unidades),8.60,88
Água Oxigenada 100ml,5.20,4
Termômetro Digital,34.90,7
Máscara Descartável (caixa com 50 unidades),29.90,12
Álcool em Gel 70% 500ml,16.00,77
Lenços Umedecidos (pacote com 48 unidades),12.90,8
Desodorante Spray 150ml,18.50,9
Antisséptico Bucal 250ml,14.00,10
Creme Dental 90g,7.50,55
Escova de Dentes,4.80,9
Colírio 15ml,9.30,1
Caderno Universitário 200 folhas,18.90,5
Lápis de Cor (caixa com 12 unidades),14.50,1
Caneta Esferográfica Azul (pacote com 5 unidades),7.20,10
Borracha Escolar,2.50,1
Apontador com Depósito,3.80,33
Mochila Escolar,89.90,66
Estojo Simples,12.00,7
Régua 30cm,4.00,2
Tesoura Sem Ponta,6.50,66
Cola Branca 90g,4.20,2
Bloco de Notas Adesivas (100 folhas),8.90,55
Marca-texto Amarelo,5.50,44
Papel Sulfite A4 (pacote com 500 folhas),25.00,6
Canetinha Hidrográfica (caixa com 12 unidades),13.40,1
Transferidor 180 graus,3.30,7
Compasso Escolar,9.80,69
Agenda Escolar,16.50,4
Lápis Grafite HB (pacote com 12 unidades),8.70,54
Calculadora Simples,29.90,1
Pasta Plástica com Elástico,5.90,1